20160801 013600;102.417000;102.459000;102.417000;102.453000;0
20160801 013700;102.453000;102.466000;102.452000;102.455000;0
20160801 013800;102.455000;102.471000;102.453000;102.460000;0
20160801 013900;102.460000;102.460000;102.440000;102.457000;0
20160801 014000;102.455000;102.460000;102.450000;102.460000;0
20160801 014100;102.460000;102.460000;102.450000;102.451000;0
20160801 014200;102.451000;102.460000;102.442000;102.445000;0
20160801 014300;102.446000;102.459000;102.440000;102.444000;0
20160801 014400;102.442000;102.443000;102.433000;102.434000;0
20160801 014500;102.433000;102.433000;102.405000;102.424000;0
20160801 014600;102.425000;102.433000;102.425000;102.431000;0
20160801 014700;102.430000;102.430000;102.419000;102.422000;0
20160801 014800;102.421000;102.430000;102.419000;102.423000;0
20160801 014900;102.422000;102.432000;102.420000;102.429000;0
20160801 015000;102.429000;102.433000;102.418000;102.428000;0
20160801 015100;102.429000;102.434000;102.428000;102.433000;0
20160801 015200;102.432000;102.433000;102.408000;102.413000;0
20160801 015300;102.411000;102.437000;102.411000;102.433000;0
20160801 015400;102.435000;102.437000;102.424000;102.436000;0
20160801 015500;102.435000;102.435000;102.424000;102.428000;0
20160801 015600;102.427000;102.438000;102.426000;102.436000;0
20160801 015700;102.436000;102.448000;102.427000;102.448000;0
20160801 015800;102.446000;102.471000;102.446000;102.463000;0
20160801 015900;102.462000;102.462000;102.422000;102.422000;0
20160801 020000;102.423000;102.434000;102.415000;102.418000;0
20160801 020100;102.417000;102.422000;102.410000;102.422000;0
20160801 020200;102.422000;102.431000;102.422000;102.427000;0
20160801 020300;102.427000;102.440000;102.427000;102.436000;0
20160801 020400;102.438000;102.443000;102.438000;102.438000;0
20160801 020500;102.441000;102.463000;102.439000;102.440000;0
20160801 020600;102.440000;102.454000;102.435000;102.454000;0
20160801 020700;102.452000;102.471000;102.450000;102.471000;0
20160801 020800;102.473000;102.474000;102.457000;102.474000;0
20160801 020900;102.472000;102.478000;102.461000;102.477000;0
20160801 021000;102.476000;102.477000;102.467000;102.468000;0
20160801 021100;102.470000;102.493000;102.467000;102.489000;0
20160801 021200;102.490000;102.495000;102.477000;102.480000;0
20160801 021300;102.483000;102.490000;102.471000;102.478000;0
20160801 021400;102.477000;102.478000;102.470000;102.474000;0
20160801 021500;102.477000;102.483000;102.468000;102.468000;0
20160801 021600;102.467000;102.496000;102.461000;102.486000;0
20160801 021700;102.487000;102.491000;102.468000;102.480000;0
20160801 021800;102.480000;102.486000;102.476000;102.482000;0
20160801 021900;102.482000;102.484000;102.477000;102.477000;0
20160801 022000;102.476000;102.476000;102.421000;102.433000;0
20160801 022100;102.432000;102.438000;102.428000;102.429000;0
20160801 022200;102.438000;102.447000;102.438000;102.441000;0
20160801 022300;102.440000;102.448000;102.424000;102.439000;0
20160801 022400;102.439000;102.457000;102.437000;102.449000;0
20160801 022500;102.449000;102.457000;102.448000;102.457000;0
20160801 022600;102.458000;102.473000;102.455000;102.472000;0
20160801 022700;102.475000;102.482000;102.475000;102.482000;0
20160801 022800;102.481000;102.493000;102.481000;102.493000;0
20160801 022900;102.492000;102.500000;102.487000;102.488000;0
20160801 023000;102.486000;102.491000;102.477000;102.489000;0
20160801 023100;102.488000;102.488000;102.466000;102.466000;0
20160801 023200;102.464000;102.472000;102.464000;102.471000;0
20160801 023300;102.473000;102.489000;102.473000;102.489000;0
20160801 023400;102.490000;102.506000;102.484000;102.488000;0
20160801 023500;102.486000;102.493000;102.478000;102.493000;0
20160801 023600;102.495000;102.533000;102.495000;102.518000;0
20160801 023700;102.518000;102.535000;102.517000;102.534000;0
20160801 023800;102.534000;102.568000;102.534000;102.538000;0
20160801 023900;102.539000;102.548000;102.521000;102.522000;0
20160801 024000;102.521000;102.524000;102.506000;102.508000;0
20160801 024100;102.507000;102.509000;102.494000;102.502000;0
20160801 024200;102.500000;102.505000;102.493000;102.494000;0
20160801 024300;102.496000;102.509000;102.496000;102.509000;0
20160801 024400;102.509000;102.515000;102.502000;102.512000;0
20160801 024500;102.513000;102.519000;102.510000;102.519000;0
20160801 024600;102.518000;102.539000;102.513000;102.539000;0
20160801 024700;102.537000;102.575000;102.533000;102.565000;0
20160801 024800;102.567000;102.608000;102.566000;102.587000;0
20160801 024900;102.586000;102.596000;102.578000;102.582000;0
20160801 025000;102.579000;102.579000;102.555000;102.559000;0
20160801 025100;102.557000;102.557000;102.542000;102.544000;0
20160801 025200;102.544000;102.544000;102.530000;102.533000;0
20160801 025300;102.532000;102.534000;102.526000;102.526000;0
20160801 025400;102.528000;102.536000;102.528000;102.536000;0
20160801 025500;102.534000;102.534000;102.526000;102.526000;0
20160801 025600;102.529000;102.536000;102.528000;102.530000;0
20160801 025700;102.534000;102.545000;102.534000;102.540000;0
20160801 025800;102.537000;102.546000;102.529000;102.531000;0
20160801 025900;102.525000;102.530000;102.515000;102.522000;0
20160801 030000;102.520000;102.534000;102.503000;102.525000;0
20160801 030100;102.526000;102.533000;102.467000;102.482000;0
20160801 030200;102.482000;102.482000;102.461000;102.472000;0
20160801 030300;102.474000;102.508000;102.474000;102.508000;0
20160801 030400;102.507000;102.509000;102.478000;102.495000;0
20160801 030500;102.497000;102.510000;102.477000;102.492000;0
20160801 030600;102.494000;102.528000;102.494000;102.528000;0
20160801 030700;102.528000;102.531000;102.464000;102.497000;0
20160801 030800;102.500000;102.540000;102.500000;102.525000;0
20160801 030900;102.527000;102.542000;102.525000;102.538000;0
20160801 031000;102.541000;102.568000;102.538000;102.549000;0
20160801 031100;102.550000;102.563000;102.544000;102.557000;0
20160801 031200;102.556000;102.572000;102.550000;102.567000;0
20160801 031300;102.569000;102.572000;102.560000;102.560000;0
20160801 031400;102.561000;102.571000;102.554000;102.571000;0
20160801 031500;102.573000;102.588000;102.567000;102.567000;0
20160801 031600;102.567000;102.575000;102.556000;102.573000;0
20160801 031700;102.571000;102.572000;102.566000;102.566000;0
20160801 031800;102.566000;102.582000;102.562000;102.572000;0
20160801 031900;102.571000;102.571000;102.561000;102.561000;0
20160801 032000;102.562000;102.579000;102.562000;102.564000;0
20160801 032100;102.564000;102.585000;102.557000;102.557000;0
20160801 032200;102.559000;102.562000;102.543000;102.543000;0
20160801 032300;102.543000;102.550000;102.532000;102.549000;0
20160801 032400;102.547000;102.550000;102.525000;102.525000;0
20160801 032500;102.524000;102.528000;102.516000;102.528000;0
20160801 032600;102.531000;102.555000;102.519000;102.520000;0
20160801 032700;102.517000;102.519000;102.510000;102.515000;0
20160801 032800;102.516000;102.519000;102.490000;102.500000;0
20160801 032900;102.499000;102.499000;102.483000;102.489000;0
20160801 033000;102.489000;102.514000;102.484000;102.504000;0
20160801 033100;102.504000;102.505000;102.486000;102.489000;0
20160801 033200;102.489000;102.500000;102.447000;102.453000;0
20160801 033300;102.451000;102.454000;102.429000;102.436000;0
20160801 033400;102.440000;102.450000;102.422000;102.424000;0
20160801 033500;102.422000;102.427000;102.404000;102.409000;0
20160801 033600;102.408000;102.411000;102.394000;102.394000;0
20160801 033700;102.392000;102.400000;102.372000;102.388000;0
20160801 033800;102.388000;102.403000;102.382000;102.393000;0
20160801 033900;102.394000;102.403000;102.383000;102.384000;0
20160801 034000;102.382000;102.382000;102.344000;102.368000;0
20160801 034100;102.365000;102.372000;102.360000;102.364000;0
20160801 034200;102.367000;102.379000;102.367000;102.376000;0
20160801 034300;102.378000;102.380000;102.369000;102.369000;0
20160801 034400;102.370000;102.375000;102.363000;102.369000;0
20160801 034500;102.367000;102.384000;102.367000;102.380000;0
20160801 034600;102.377000;102.391000;102.377000;102.391000;0
20160801 034700;102.395000;102.401000;102.387000;102.389000;0
20160801 034800;102.389000;102.395000;102.384000;102.384000;0
20160801 034900;102.382000;102.382000;102.354000;102.358000;0
20160801 035000;102.364000;102.385000;102.364000;102.384000;0
20160801 035100;102.386000;102.427000;102.386000;102.409000;0
20160801 035200;102.410000;102.417000;102.410000;102.411000;0
20160801 035300;102.416000;102.418000;102.399000;102.399000;0
20160801 035400;102.401000;102.405000;102.398000;102.399000;0
20160801 035500;102.398000;102.411000;102.388000;102.411000;0
20160801 035600;102.411000;102.425000;102.410000;102.421000;0
20160801 035700;102.421000;102.422000;102.414000;102.422000;0
20160801 035800;102.423000;102.423000;102.406000;102.407000;0
20160801 035900;102.405000;102.416000;102.397000;102.397000;0
20160801 040000;102.395000;102.410000;102.353000;102.403000;0
20160801 040100;102.402000;102.410000;102.397000;102.406000;0
20160801 040200;102.408000;102.411000;102.404000;102.411000;0
20160801 040300;102.412000;102.412000;102.385000;102.385000;0
20160801 040400;102.384000;102.390000;102.352000;102.372000;0
20160801 040500;102.376000;102.381000;102.371000;102.381000;0
20160801 040600;102.381000;102.389000;102.354000;102.356000;0
20160801 040700;102.357000;102.386000;102.357000;102.377000;0
20160801 040800;102.375000;102.379000;102.355000;102.355000;0
